text,career
I am studying B.Tech in computer science,Software Engineer
I like coding and programming,Software Engineer
I enjoy building websites,Software Engineer
I love working with computers,Software Engineer
I want to become software developer,Software Engineer
I am interested in web development,Software Engineer
I like python and java,Software Engineer
I want IT company job,Software Engineer
I enjoy solving coding problems,Software Engineer
I am learning full stack development,Software Engineer
I am interested in cloud computing,Software Engineer
I like software engineering field,Software Engineer
I enjoy app development,Software Engineer
I want high salary IT job,Software Engineer
I love technology and programming,Software Engineer

I love data analysis,Data Scientist
I enjoy statistics and data,Data Scientist
I want to become data scientist,Data Scientist
I am interested in machine learning,Data Scientist
I like python for data science,Data Scientist
I enjoy analyzing datasets,Data Scientist
I want analytics career,Data Scientist
I like deep learning,Data Scientist
I enjoy data visualization,Data Scientist
I am studying artificial intelligence,Data Scientist
I like predictive modeling,Data Scientist
I want job in analytics company,Data Scientist
I enjoy working with big data,Data Scientist
I love numbers and coding,Data Scientist
I want AI and ML career,Data Scientist

I like machines and engines,Mechanical Engineer
I am studying mechanical engineering,Mechanical Engineer
I enjoy automobile field,Mechanical Engineer
I want to work in automobile industry,Mechanical Engineer
I like robotics and machines,Mechanical Engineer
I enjoy industrial design,Mechanical Engineer
I like manufacturing field,Mechanical Engineer
I want core engineering job,Mechanical Engineer
I enjoy production industry,Mechanical Engineer
I like mechanical systems,Mechanical Engineer

I am interested in construction field,Civil Engineer
I like buildings and bridges,Civil Engineer
I want to become civil engineer,Civil Engineer
I enjoy structural design,Civil Engineer
I like designing roads,Civil Engineer
I want government engineering job,Civil Engineer
I enjoy site work,Civil Engineer
I like infrastructure projects,Civil Engineer
I want career in construction,Civil Engineer
I enjoy civil engineering field,Civil Engineer

I want to become doctor,Doctor
I am preparing for NEET exam,Doctor
I like biology and medicine,Doctor
I want to study MBBS,Doctor
I enjoy helping patients,Doctor
I love medical field,Doctor
I want healthcare career,Doctor
I like human anatomy,Doctor
I am interested in surgery,Doctor
I want hospital job,Doctor

I want to become lawyer,Lawyer
I am interested in law,Lawyer
I like legal studies,Lawyer
I want career in judiciary,Lawyer
I enjoy arguing and debates,Lawyer
I want to become advocate,Lawyer
I am preparing for CLAT,Lawyer
I like criminal law,Lawyer
I want court practice career,Lawyer
I enjoy legal profession,Lawyer

I want to become chartered accountant,Chartered Accountant
I like accounting and auditing,Chartered Accountant
I am interested in finance field,Chartered Accountant
I want CA career,Chartered Accountant
I enjoy taxation,Chartered Accountant
I like commerce and accounts,Chartered Accountant
I want job in finance sector,Chartered Accountant
I am preparing for CA exam,Chartered Accountant
I enjoy accounting profession,Chartered Accountant
I like balance sheets and auditing,Chartered Accountant

I want to do MBA,Business Management
I am interested in management,Business Management
I want to start business,Business Management
I like entrepreneurship,Business Management
I enjoy marketing field,Business Management
I want corporate career,Business Management
I like leadership roles,Business Management
I want business administration job,Business Management
I enjoy company management,Business Management
I want CEO position,Business Management

I like drawing and art,Graphic Designer
I enjoy graphic designing,Graphic Designer
I want creative job,Graphic Designer
I love digital art,Graphic Designer
I am interested in UI UX design,Graphic Designer
I like animation and creativity,Graphic Designer
I want designer career,Graphic Designer
I enjoy photoshop work,Graphic Designer
I like creative field,Graphic Designer
I want graphic design job,Graphic Designer

I like teaching students,Teacher
I want to become teacher,Teacher
I enjoy explaining subjects,Teacher
I love education field,Teacher
I want professor job,Teacher
I like academic career,Teacher
I want government teaching job,Teacher
I enjoy school environment,Teacher
I like working with students,Teacher
I want lecturer position,Teacher
